customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4183MYFRB,Female,0,No,No,21,Yes,No,Fiberoptic,No,Yes,Yes,No,No,Yes,Monthtomonth,Yes,Electroniccheck,90.05,1862.9,No
8779QRDMV,Male,1,No,No,1,No,Nophoneservice,DSL,No,No,Yes,No,No,Yes,Monthtomonth,Yes,Electroniccheck,39.65,39.65,Yes
1680VDCWW,Male,0,Yes,No,12,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Banktransfer(automatic),19.8,202.25,No
1066JKSGK,Male,0,No,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Mailedcheck,20.15,20.15,Yes
3638WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Twoyear,Yes,Creditcard(automatic),59.9,3505.1,No
6322HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Monthtomonth,No,Creditcard(automatic),59.6,2970.3,No
6865JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Monthtomonth,Yes,Banktransfer(automatic),55.3,1530.6,No
6467CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,Yes,Monthtomonth,Yes,Electroniccheck,99.35,4749.15,Yes
8665UTDHZ,Male,0,Yes,Yes,1,No,Nophoneservice,DSL,No,Yes,No,No,No,No,Monthtomonth,No,Electroniccheck,30.2,30.2,Yes
5248YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,Creditcard(automatic),90.25,6369.45,No
8773HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Monthtomonth,Yes,Mailedcheck,64.7,1093.1,Yes
3841NFECX,Female,1,Yes,No,71,Yes,Yes,Fiberoptic,Yes,Yes,Yes,Yes,No,No,Twoyear,Yes,Creditcard(automatic),96.35,6766.95,No
4929XIHVW,Male,1,Yes,No,2,Yes,No,Fiberoptic,No,No,Yes,No,Yes,Yes,Monthtomonth,Yes,Creditcard(automatic),95.5,181.65,No
6827IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Oneyear,No,Mailedcheck,66.15,1874.45,No
7310EGVHZ,Male,0,No,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Banktransfer(automatic),20.2,20.2,No
3413BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthtomonth,No,Banktransfer(automatic),45.25,45.25,No
6234RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiberoptic,Yes,Yes,No,Yes,Yes,No,Twoyear,No,Banktransfer(automatic),99.9,7251.7,No
6047YHPVI,Male,0,No,No,5,Yes,No,Fiberoptic,No,No,No,No,No,No,Monthtomonth,Yes,Electroniccheck,69.7,316.9,Yes
6572ADKRS,Female,0,No,No,46,Yes,No,Fiberoptic,No,No,Yes,No,No,No,Monthtomonth,Yes,Creditcard(automatic),74.8,3548.3,No
5380WJKOV,Male,0,No,No,34,Yes,Yes,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Monthtomonth,Yes,Electroniccheck,106.35,3549.25,Yes
8168UQWWF,Female,0,No,No,11,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Monthtomonth,Yes,Banktransfer(automatic),97.85,1105.4,Yes
8865TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,Oneyear,No,Mailedcheck,49.55,475.7,No
9489DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Twoyear,Yes,Creditcard(automatic),69.2,4872.35,No
9867JCZSP,Female,0,Yes,Yes,17,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Mailedcheck,20.75,418.25,No
4671VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Twoyear,Yes,Creditcard(automatic),79.85,4861.45,No
4080IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Monthtomonth,Yes,Electroniccheck,76.2,981.45,No
3714NTNFO,Female,0,No,No,49,Yes,Yes,Fiberoptic,No,No,No,No,No,Yes,Monthtomonth,Yes,Electroniccheck,84.5,3906.7,No
5948UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Monthtomonth,No,Mailedcheck,49.25,97,No
7760OYPDY,Female,0,No,No,2,Yes,No,Fiberoptic,No,No,No,No,Yes,No,Monthtomonth,Yes,Electroniccheck,80.65,144.15,Yes
7639LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Twoyear,Yes,Creditcard(automatic),79.75,4217.8,No
2954PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Twoyear,Yes,Creditcard(automatic),64.15,4254.1,No
8012SOUDQ,Female,1,No,No,43,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,No,Monthtomonth,Yes,Electroniccheck,90.25,3838.75,No
9420LOJKX,Female,0,No,No,15,Yes,No,Fiberoptic,Yes,Yes,No,No,Yes,Yes,Monthtomonth,Yes,Creditcard(automatic),99.1,1426.4,Yes
6575SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Monthtomonth,Yes,Creditcard(automatic),69.5,1752.65,No
7495OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiberoptic,No,Yes,No,No,No,No,Monthtomonth,Yes,Creditcard(automatic),80.65,633.3,Yes
4667QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Oneyear,Yes,Creditcard(automatic),74.85,4456.35,No
1658BYGOY,Male,1,No,No,18,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,Monthtomonth,Yes,Electroniccheck,95.45,1752.55,Yes
8769KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiberoptic,Yes,No,No,No,Yes,Yes,Oneyear,Yes,Creditcard(automatic),99.65,6311.2,No
5067XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Oneyear,Yes,Electroniccheck,108.45,7076.35,No
3957SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Creditcard(automatic),24.95,894.3,No
5954BDFSG,Female,0,No,No,72,Yes,Yes,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Twoyear,Yes,Creditcard(automatic),107.5,7853.7,No
0434CSFON,Female,0,Yes,No,47,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Monthtomonth,Yes,Electroniccheck,100.5,4707.1,No
1215FIGMP,Male,0,No,No,60,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,No,Monthtomonth,Yes,Banktransfer(automatic),89.9,5450.7,No
0526SXDJP,Male,0,Yes,No,72,No,Nophoneservice,DSL,Yes,Yes,Yes,No,No,No,Twoyear,No,Banktransfer(automatic),42.1,2962,No
0557ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Oneyear,Yes,Creditcard(automatic),54.4,957.1,No
5698BQJOH,Female,0,No,No,9,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,Monthtomonth,No,Electroniccheck,94.4,857.25,Yes
5122CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Monthtomonth,Yes,Electroniccheck,75.3,244.1,No
8627ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiberoptic,No,Yes,No,No,No,No,Oneyear,Yes,Electroniccheck,78.9,3650.35,No
3410YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Twoyear,No,Mailedcheck,79.2,2497.2,No
3170NMYVV,Female,0,Yes,Yes,50,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),20.15,930.9,No
7410OIEDU,Male,0,No,No,10,Yes,No,Fiberoptic,Yes,No,Yes,No,No,No,Monthtomonth,Yes,Mailedcheck,79.85,887.35,No
2273QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Monthtomonth,No,Mailedcheck,49.05,49.05,No
0731EBJQB,Female,0,Yes,Yes,52,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,Electroniccheck,20.4,1090.65,No
1891QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiberoptic,Yes,No,Yes,Yes,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),111.6,7099,No
8028PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Banktransfer(automatic),24.25,1424.6,No
5630AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Monthtomonth,Yes,Banktransfer(automatic),64.5,177.4,No
2673CXQEU,Female,1,No,No,56,Yes,Yes,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Oneyear,No,Electroniccheck,110.5,6139.5,No
6416JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,Oneyear,No,Creditcard(automatic),55.65,2688.85,No
5590ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Monthtomonth,No,Mailedcheck,54.65,482.25,No
0191ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Monthtomonth,Yes,Electroniccheck,74.75,2111.3,No
3887PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,Creditcard(automatic),25.9,1216.6,No
5919TMRGD,Female,0,No,Yes,1,Yes,No,Fiberoptic,No,No,No,No,Yes,No,Monthtomonth,Yes,Electroniccheck,79.35,79.35,Yes
8108UXRQN,Female,0,Yes,Yes,11,No,Nophoneservice,DSL,Yes,No,No,No,Yes,Yes,Monthtomonth,No,Electroniccheck,50.55,565.35,No
9191MYQKX,Female,0,Yes,No,7,Yes,No,Fiberoptic,No,No,Yes,No,No,No,Monthtomonth,Yes,Banktransfer(automatic),75.15,496.9,Yes
9919YLNNG,Female,0,No,No,42,Yes,No,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Monthtomonth,Yes,Banktransfer(automatic),103.8,4327.5,No
0318ZOPWS,Female,0,Yes,No,49,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Banktransfer(automatic),20.15,973.35,No
4445ZJNMU,Male,0,No,No,9,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,Yes,Monthtomonth,Yes,Creditcard(automatic),99.3,918.75,No
4808YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,Oneyear,Yes,Banktransfer(automatic),62.15,2215.45,No
1862QRWPE,Female,0,Yes,Yes,48,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),20.65,1057,No
2796NNUFI,Female,0,Yes,Yes,46,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Mailedcheck,19.95,927.1,No
3016KSVCP,Male,0,Yes,No,29,No,Nophoneservice,DSL,No,No,No,No,Yes,No,Monthtomonth,No,Mailedcheck,33.75,1009.25,No
4767HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiberoptic,No,Yes,Yes,No,No,No,Monthtomonth,No,Banktransfer(automatic),82.05,2570.2,No
2424WVHPL,Male,1,No,No,1,Yes,No,Fiberoptic,No,No,No,Yes,No,No,Monthtomonth,No,Electroniccheck,74.7,74.7,No
7233PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Twoyear,Yes,Mailedcheck,84,5714.25,No
6067NGCEU,Female,0,No,No,65,Yes,Yes,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Monthtomonth,Yes,Creditcard(automatic),111.05,7107,No
9848JQJTX,Male,0,No,No,72,Yes,Yes,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),100.9,7459.05,No
8637XJIVR,Female,0,No,No,12,Yes,Yes,Fiberoptic,Yes,No,No,No,No,No,Monthtomonth,Yes,Electroniccheck,78.95,927.35,Yes
9803FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Oneyear,Yes,Creditcard(automatic),66.85,4748.7,No
0278YXOOG,Male,0,No,No,5,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Mailedcheck,21.05,113.85,Yes
3212KXOCR,Male,0,No,No,52,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),21,1107.2,No
4598XLKNJ,Female,1,Yes,No,25,Yes,No,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Monthtomonth,Yes,Electroniccheck,98.5,2514.5,Yes
6380ARCEH,Male,0,No,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Mailedcheck,20.2,20.2,No
3679XASPY,Female,0,Yes,Yes,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Electroniccheck,19.45,19.45,No
7123WQUHX,Male,0,No,No,38,Yes,Yes,Fiberoptic,No,No,Yes,Yes,Yes,No,Oneyear,No,Banktransfer(automatic),95,3605.6,No
5386THSLQ,Female,1,Yes,No,66,No,Nophoneservice,DSL,No,Yes,Yes,No,Yes,No,Oneyear,No,Banktransfer(automatic),45.55,3027.25,No
3192NQECA,Male,0,Yes,No,68,Yes,Yes,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),110,7611.85,Yes
6180YBIQI,Male,0,No,No,5,No,Nophoneservice,DSL,No,No,No,No,No,No,Monthtomonth,No,Mailedcheck,24.3,100.2,No
6728DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiberoptic,Yes,Yes,No,No,Yes,Yes,Oneyear,Yes,Electroniccheck,104.15,7303.05,No
9750BOOHV,Female,0,No,No,32,No,Nophoneservice,DSL,Yes,No,No,No,No,No,Oneyear,No,Mailedcheck,30.15,927.65,No
8597CWYHH,Male,0,No,No,43,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,Oneyear,No,Mailedcheck,94.35,3921.3,No
2848YXSMW,Male,0,Yes,Yes,72,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Creditcard(automatic),19.4,1363.25,No
0486HECZI,Male,0,Yes,No,55,Yes,Yes,Fiberoptic,Yes,Yes,No,No,Yes,No,Monthtomonth,Yes,Electroniccheck,96.75,5238.9,Yes
4549ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Oneyear,No,Creditcard(automatic),57.95,3042.25,No
5712AHQNN,Female,0,No,No,43,Yes,No,Fiberoptic,No,Yes,Yes,No,Yes,No,Monthtomonth,Yes,Electroniccheck,91.65,3954.1,No
4846WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiberoptic,No,No,No,No,No,No,Monthtomonth,Yes,Electroniccheck,76.5,2868.15,Yes
5256SKJGO,Female,0,Yes,Yes,64,No,Nophoneservice,DSL,No,Yes,No,Yes,Yes,Yes,Twoyear,Yes,Electroniccheck,54.6,3423.5,No
3071VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiberoptic,Yes,Yes,No,No,Yes,No,Monthtomonth,No,Electroniccheck,89.85,248.4,No
9560BBZXK,Female,0,No,No,36,No,Nophoneservice,DSL,Yes,No,No,No,No,No,Twoyear,No,Banktransfer(automatic),31.05,1126.35,No
5299RULOA,Female,0,Yes,Yes,10,Yes,Yes,Fiberoptic,Yes,No,No,No,Yes,Yes,Monthtomonth,Yes,Electroniccheck,100.25,1064.65,Yes
8402OOOHJ,Female,0,No,No,41,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Mailedcheck,20.65,835.15,No
9445ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Fiberoptic,No,Yes,No,Yes,No,No,Monthtomonth,Yes,Creditcard(automatic),85.2,2151.6,No
1091SOZGA,Female,0,Yes,Yes,56,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,Yes,Creditcard(automatic),99.8,5515.45,No
2928HLDBA,Female,0,No,No,6,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Mailedcheck,20.7,112.75,No
0404SWRVG,Male,0,No,No,3,Yes,Yes,Fiberoptic,No,No,No,No,No,No,Monthtomonth,Yes,Electroniccheck,74.4,229.55,Yes
6497TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Monthtomonth,No,Mailedcheck,50.7,350.35,No
7219TLZHO,Female,0,Yes,Yes,4,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Mailedcheck,20.85,62.9,No
4622YNKIJ,Male,0,No,No,33,Yes,No,Fiberoptic,Yes,No,No,Yes,Yes,No,Twoyear,Yes,Electroniccheck,88.95,3027.65,No
4412YLTKF,Female,1,No,No,27,Yes,Yes,Fiberoptic,No,No,Yes,No,No,No,Monthtomonth,Yes,Electroniccheck,78.05,2135.5,Yes
6734PSBAW,Male,0,Yes,No,72,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Banktransfer(automatic),23.55,1723.95,No
3930ZGWVE,Male,0,No,No,1,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Mailedcheck,19.75,19.75,No
2639UGMAZ,Male,1,No,No,71,No,Nophoneservice,DSL,Yes,Yes,No,No,Yes,Yes,Oneyear,Yes,Electroniccheck,56.45,3985.35,No
2876GZYZC,Female,0,No,No,13,Yes,Yes,Fiberoptic,No,No,No,No,No,Yes,Monthtomonth,Yes,Electroniccheck,85.95,1215.65,No
6207WIOLX,Female,0,Yes,Yes,25,No,Nophoneservice,DSL,Yes,Yes,Yes,No,Yes,Yes,Monthtomonth,Yes,Creditcard(automatic),58.6,1502.65,Yes
8587XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Twoyear,No,Banktransfer(automatic),50.55,3260.1,No
3091FYHKI,Male,0,No,No,1,No,Nophoneservice,DSL,No,No,No,No,No,Yes,Monthtomonth,Yes,Electroniccheck,35.45,35.45,Yes
2372HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Monthtomonth,No,Electroniccheck,44.35,81.25,Yes
7799LGRDP,Female,0,No,No,43,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Creditcard(automatic),25.7,1188.2,No
7850VWJUU,Female,0,No,No,23,Yes,No,Fiberoptic,Yes,No,No,No,No,No,Monthtomonth,Yes,Banktransfer(automatic),75,1778.5,No
3774VBNXY,Female,0,Yes,Yes,64,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Mailedcheck,20.2,1277.75,No
6217KDYWC,Male,0,No,Yes,57,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,Mailedcheck,19.6,1170.55,No
0390DCFDQ,Female,1,Yes,No,1,Yes,No,Fiberoptic,No,No,No,No,No,No,Monthtomonth,Yes,Mailedcheck,70.45,70.45,Yes
3146MSEGF,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,Yes,Creditcard(automatic),88.05,6425.65,No
4080OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Monthtomonth,No,Electroniccheck,71.15,563.65,Yes
1095WGNGG,Female,0,Yes,No,61,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,Yes,Twoyear,Yes,Banktransfer(automatic),101.05,5971.25,No
2636SJDOU,Male,0,No,No,64,Yes,Yes,Fiberoptic,Yes,Yes,No,No,No,No,Oneyear,Yes,Creditcard(automatic),84.3,5289.05,No
1131QQZEB,Male,1,Yes,No,71,Yes,Yes,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Banktransfer(automatic),23.95,1756.2,No
5716EZXZN,Female,0,Yes,Yes,65,Yes,Yes,Fiberoptic,Yes,Yes,No,Yes,Yes,No,Twoyear,Yes,Creditcard(automatic),99.05,6416.7,No
6837BJYDQ,Male,0,No,No,3,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Mailedcheck,19.6,61.35,No
2135RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Monthtomonth,Yes,Electroniccheck,45.65,45.65,Yes
6440DKQGE,Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Oneyear,No,Creditcard(automatic),64.5,1929.95,No
3466BYAVD,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Monthtomonth,Yes,Mailedcheck,69.5,1071.4,No
3780YVMFA,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Monthtomonth,Yes,Electroniccheck,68.55,564.35,No
3874EQOEP,Male,0,No,No,7,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,Monthtomonth,No,Mailedcheck,95,655.5,Yes
1679JRFBR,Female,0,Yes,Yes,70,Yes,Yes,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Oneyear,Yes,Creditcard(automatic),108.15,7930.55,No
9073ZZIAY,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,No,Electroniccheck,86.1,5215.25,No
3077RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Monthtomonth,No,Mailedcheck,19.7,113.5,No
6551GNYDG,Female,0,Yes,Yes,14,Yes,No,Fiberoptic,No,No,No,No,No,Yes,Monthtomonth,Yes,Banktransfer(automatic),80.9,1152.8,No
9167APMXZ,Female,0,No,No,22,Yes,Yes,Fiberoptic,No,No,No,No,Yes,No,Monthtomonth,Yes,Banktransfer(automatic),84.15,1821.95,No
